,intracellular membrane-boun,cis-Golgi network,endoplasmic reticulum,endoplasmic reticulum-Golgi,Golgi apparatus,intracellular vesicle,mitochondrion,nucleus,omegasome,platelet dense tubular netw,vacuole
intracellular membrane-boun,1.0,0.12130503086425454,0.013967679309840808,0.08453353565504892,0.016911993757199446,0.05958514306121314,0.012316927391978354,0.0,0.01524446924273683,0.007413919057393964,0.008380607585904483
cis-Golgi network,0.12130503086425454,1.0,0.011598150010653686,0.07925010581245032,0.01080229227358772,0.052697286523525205,0.005681909897271361,0.0,0.027426404480465676,0.020520647104184643,0.017397225015980525
endoplasmic reticulum,0.013967679309840808,0.011598150010653686,1.0,0.020336295869552105,0.0258716841902111,0.02804687746077809,0.027216552697590865,0.0,0.020211302086361082,0.049147318718299055,0.0
endoplasmic reticulum-Golgi,0.08453353565504892,0.07925010581245032,0.020336295869552105,1.0,0.151526656608695,0.23613301367941456,0.05313445134791657,0.01660451604622393,0.08138255778915268,0.011993692975806068,0.0203362958695521
Golgi apparatus,0.016911993757199446,0.01080229227358772,0.0258716841902111,0.151526656608695,1.0,0.15999920033918952,0.1520938201258747,0.0,0.009412207643723192,0.0,0.0
intracellular vesicle,0.05958514306121314,0.052697286523525205,0.02804687746077809,0.23613301367941456,0.15999920033918952,1.0,0.22671177756899955,0.01717513466431816,0.05101775216450439,0.043420508006965064,0.021035158095583564
mitochondrion,0.012316927391978354,0.005681909897271361,0.027216552697590865,0.05313445134791657,0.1520938201258747,0.22671177756899955,1.0,0.0,0.0,0.024077170617153837,0.0
nucleus,0.0,0.0,0.0,0.01660451604622393,0.0,0.01717513466431816,0.0,1.0,0.0,0.0,0.0
omegasome,0.01524446924273683,0.027426404480465676,0.020211302086361082,0.08138255778915268,0.009412207643723192,0.05101775216450439,0.0,0.0,1.0,0.03575992699260758,0.0
platelet dense tubular netw,0.007413919057393964,0.020520647104184643,0.049147318718299055,0.011993692975806068,0.0,0.043420508006965064,0.024077170617153837,0.0,0.03575992699260758,1.0,0.0
vacuole,0.008380607585904483,0.017397225015980525,0.0,0.0203362958695521,0.0,0.021035158095583564,0.0,0.0,0.0,0.0,1.0
