,intracellular membrane-boun,cis-Golgi network,endoplasmic reticulum,endoplasmic reticulum-Golgi,Golgi apparatus,intracellular vesicle,migrasome,mitochondrion,nucleus,omegasome,platelet dense tubular netw,TMEM240-body,vacuole
intracellular membrane-boun,1.0,0.0498,0.0209,0.0307,0.0013,0.0018,0.0021,0.0007,0.0004,0.0001,0.0,0.0001,0.0001
cis-Golgi network,0.0498,1.0,0.0266,0.0407,0.0012,0.0023,0.0073,0.0012,0.0024,0.0012,0.0,0.0,0.0006
endoplasmic reticulum,0.0209,0.0266,1.0,0.1338,0.0579,0.0421,0.0161,0.0035,0.0061,0.0018,0.0009,0.0,0.0009
endoplasmic reticulum-Golgi,0.0307,0.0407,0.1338,1.0,0.0126,0.0386,0.0252,0.0025,0.0016,0.0016,0.0008,0.0008,0.0008
Golgi apparatus,0.0013,0.0012,0.0579,0.0126,1.0,0.0822,0.0,0.0109,0.0103,0.0,0.0,0.0,0.0
intracellular vesicle,0.0018,0.0023,0.0421,0.0386,0.0822,1.0,0.0046,0.01,0.0,0.0,0.0,0.0,0.0
migrasome,0.0021,0.0073,0.0161,0.0252,0.0,0.0046,1.0,0.0065,0.0127,0.0,0.0,0.0,0.0
mitochondrion,0.0007,0.0012,0.0035,0.0025,0.0109,0.01,0.0065,1.0,0.025,0.0,0.0,0.0,0.0
nucleus,0.0004,0.0024,0.0061,0.0016,0.0103,0.0,0.0127,0.025,1.0,0.0,0.0,0.0,0.0
omegasome,0.0001,0.0012,0.0018,0.0016,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
platelet dense tubular netw,0.0,0.0,0.0009,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
TMEM240-body,0.0001,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
vacuole,0.0001,0.0006,0.0009,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
