organelle,cluster
intracellular mem,1
ocelloid,2
acidocalcisome,0
anammoxosome,2
attachment organe,0
cis-Golgi network,1
endoplasmic retic,1
endoplasmic retic,1
endosperm protein,0
ER body,0
exoneme,0
eyespot apparat,0
Golgi apparatus,1
hydrogenosome,2
intracellular ves,2
karyomere,0
methane-oxidizing,0
microbody,0
microneme,0
mitochondrial der,2
mitochondrion,3
mitosome,0
mononeme,0
nucleomorph,2
nucleus,3
omegasome,2
pirellulosome,0
plastid,0
platelet dense tu,2
polyhydroxyalkano,0
subsynaptic retic,2
vacuole,0
