,intracellular membrane-boun,cis-Golgi network,endoplasmic reticulum,endoplasmic reticulum-Golgi,Golgi apparatus,intracellular vesicle,migrasome,mitochondrion,nucleus,omegasome,platelet dense tubular netw,vacuole
intracellular membrane-boun,1.0,0.02020202020202022,0.0,0.010449574726610011,0.00027716186252768615,0.0055653933721224735,0.0002768549280177668,0.0,0.0002756339581035938,0.0,0.0,0.0
cis-Golgi network,0.02020202020202022,1.0,0.0,0.027885360185902375,0.0012870012870013214,0.012389380530973493,0.001280409731113985,0.0,0.002512562814070307,0.0,0.0,0.0013175230566534468
endoplasmic reticulum,0.0,0.0,1.0,0.0,0.0,0.002557544757033292,0.0,0.0,0.0,0.0,0.0,0.0
endoplasmic reticulum-Golgi,0.010449574726610011,0.027885360185902375,0.0,1.0,0.011945392491467532,0.09101251422070533,0.003361344537815114,0.0,0.00327332242225864,0.0,0.0,0.0017421602787456303
Golgi apparatus,0.00027716186252768615,0.0012870012870013214,0.0,0.011945392491467532,1.0,0.017369727047146455,0.1428571428571429,0.0,0.0,0.0,0.0,0.0
intracellular vesicle,0.0055653933721224735,0.012389380530973493,0.002557544757033292,0.09101251422070533,0.017369727047146455,1.0,0.009756097560975618,0.0,0.002331002331002363,0.0,0.0,0.002557544757033292
migrasome,0.0002768549280177668,0.001280409731113985,0.0,0.003361344537815114,0.1428571428571429,0.009756097560975618,1.0,0.0,0.0,0.030303030303030276,0.0,0.0
mitochondrion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nucleus,0.0002756339581035938,0.002512562814070307,0.0,0.00327332242225864,0.0,0.002331002331002363,0.0,0.0,1.0,0.0,0.0,0.0
omegasome,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030276,0.0,0.0,1.0,0.0,0.0
platelet dense tubular netw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
vacuole,0.0,0.0013175230566534468,0.0,0.0017421602787456303,0.0,0.002557544757033292,0.0,0.0,0.0,0.0,0.0,1.0
